Date,Users,Sessions,Avg. Session Duration,Pages / Session,Avg. Time on Page
20210318,12,15,0:02:55,2.63,0:03:13
20210319,16,30,0:07:52,2.07,0:07:14
20210320,6,13,0:05:19,6.15,0:02:17
20210321,7,7,0:02:44,1.6,0:04:35
20210322,8,17,0:01:48,2.26,0:02:46
20210323,9,18,0:04:32,2.17,0:06:07
20210324,9,7,0:00:52,1.51,0:10:29
20210325,5,11,0:05:41,1.91,0:05:11
20210326,5,12,0:03:55,1.77,0:05:03
20210327,19,20,0:01:38,1.64,0:02:40
20210328,10,13,0:01:41,1.92,0:01:46
20210329,38,49,0:01:45,1.68,0:03:38
20210330,18,22,0:05:22,2.52,0:05:01
20210331,"46,376","35,999",0:01:55,2.08,0:03:59
20210401,"44,184","36,628",0:02:25,2.17,0:04:19
20210402,"43,866","35,262",0:03:01,2.27,0:04:39
20210403,"25,335","20,071",0:02:49,2.39,0:04:25
20210404,"19,838","15,488",0:02:48,2.51,0:04:28
20210405,"42,514","31,738",0:03:46,2.9,0:04:52
20210406,"36,264","25,557",0:03:20,2.9,0:04:48
20210407,"42,252","24,876",0:03:05,3.25,0:04:26
20210408,"42,929","21,927",0:02:53,3.66,0:04:08
20210409,"54,126","31,904",0:02:48,3.12,0:04:19
20210410,"29,666","16,584",0:02:23,3.22,0:04:03
20210411,"26,794","13,498",0:02:25,3.52,0:04:04
20210412,"32,148","16,182",0:02:32,3.51,0:04:01
20210413,"25,301","13,247",0:02:28,3.41,0:04:08
20210414,"19,892","11,008",0:02:15,3.22,0:03:54
20210415,"19,355","10,523",0:02:11,3.13,0:04:08
20210416,"20,804","11,808",0:02:00,2.82,0:04:03
20210417,"15,546","9,495",0:01:39,2.53,0:04:03
20210418,"16,302","9,741",0:01:47,2.66,0:04:03
20210419,"173,418","178,932",0:02:03,1.69,0:04:44
20210420,"60,005","56,436",0:01:58,1.86,0:04:00
20210421,"56,667","51,923",0:01:35,1.82,0:03:44
20210422,"46,917","42,037",0:01:42,1.87,0:04:01
20210423,"61,071","57,269",0:01:10,1.56,0:03:27
20210424,"24,183","21,139",0:01:10,1.7,0:03:23
20210425,"23,784","20,300",0:01:22,1.77,0:03:37
20210426,"28,069","22,353",0:01:19,1.88,0:03:40
20210427,"25,256","19,937",0:01:13,1.89,0:03:21
20210428,"27,261","22,712",0:01:13,1.79,0:03:27
20210429,"24,697","19,964",0:01:15,1.86,0:03:36
20210430,"26,447","22,579",0:01:06,1.72,0:03:22